ano;regiao;uf;local_obito;faixa_etaria;sexo;quant_obitos;quant_populacao
2019;Nordeste;BA;HOSPITAL;70 - 79;M;1;14985284
2020;Centro-Oeste;DF;DOMICILIO;30 - 39;F;1;3094325
2020;Centro-Oeste;DF;DOMICILIO;30 - 39;M;3;3094325
2020;Centro-Oeste;DF;DOMICILIO;40 - 49;F;1;3094325
2020;Centro-Oeste;DF;DOMICILIO;40 - 49;M;2;3094325
2020;Centro-Oeste;DF;DOMICILIO;50 - 59;F;2;3094325
2020;Centro-Oeste;DF;DOMICILIO;50 - 59;M;6;3094325
2020;Centro-Oeste;DF;DOMICILIO;60 - 69;F;5;3094325
2020;Centro-Oeste;DF;DOMICILIO;60 - 69;M;2;3094325
2020;Centro-Oeste;DF;DOMICILIO;70 - 79;F;8;3094325
2020;Centro-Oeste;DF;DOMICILIO;70 - 79;M;4;3094325
2020;Centro-Oeste;DF;DOMICILIO;80 - 89;F;5;3094325
2020;Centro-Oeste;DF;DOMICILIO;80 - 89;M;11;3094325
2020;Centro-Oeste;DF;DOMICILIO;90 - 99;F;10;3094325
2020;Centro-Oeste;DF;DOMICILIO;90 - 99;M;6;3094325
2020;Centro-Oeste;DF;DOMICILIO;> 100;F;1;3094325
2020;Centro-Oeste;DF;DOMICILIO;> 100;M;2;3094325
2020;Centro-Oeste;DF;HOSPITAL;10 - 19;F;2;3094325
2020;Centro-Oeste;DF;HOSPITAL;10 - 19;M;2;3094325
2020;Centro-Oeste;DF;HOSPITAL;20 - 29;F;18;3094325
2020;Centro-Oeste;DF;HOSPITAL;20 - 29;M;17;3094325
2020;Centro-Oeste;DF;HOSPITAL;30 - 39;F;32;3094325
2020;Centro-Oeste;DF;HOSPITAL;30 - 39;M;62;3094325
2020;Centro-Oeste;DF;HOSPITAL;40 - 49;F;83;3094325
2020;Centro-Oeste;DF;HOSPITAL;40 - 49;M;155;3094325
2020;Centro-Oeste;DF;HOSPITAL;50 - 59;F;161;3094325
2020;Centro-Oeste;DF;HOSPITAL;50 - 59;M;278;3094325
2020;Centro-Oeste;DF;HOSPITAL;60 - 69;F;320;3094325
2020;Centro-Oeste;DF;HOSPITAL;60 - 69;I;1;3094325
2020;Centro-Oeste;DF;HOSPITAL;60 - 69;M;463;3094325
2020;Centro-Oeste;DF;HOSPITAL;70 - 79;F;376;3094325
2020;Centro-Oeste;DF;HOSPITAL;70 - 79;M;553;3094325
