Ano,Unidade da Federação,Equipamentos_Existentes,Equipamentos_em_Uso,Estab_c/_Equip_SUS
2021,11 Rondônia,952,889,79
2021,12 Acre,365,337,40
2021,13 Amazonas,1434,1333,132
2021,14 Roraima,384,271,14
2021,15 Pará,2573,2441,223
2021,16 Amapá,169,151,15
2021,17 Tocantins,586,582,60
2021,21 Maranhão,1646,1572,186
2021,22 Piauí,798,782,90
2021,23 Ceará,3536,3468,272
2021,24 Rio Grande do Norte,1368,1313,140
2021,25 Paraíba,1264,1155,178
2021,26 Pernambuco,3926,3575,311
2021,27 Alagoas,965,916,62
2021,28 Sergipe,863,830,69
2021,29 Bahia,4981,4800,637
2021,31 Minas Gerais,10258,9694,738
2021,32 Espírito Santo,2829,2539,128
2021,33 Rio de Janeiro,10918,10291,504
2021,35 São Paulo,24958,24000,1343
2021,41 Paraná,5298,4991,463
2021,42 Santa Catarina,3339,3219,272
2021,43 Rio Grande do Sul,5100,4959,389
2021,50 Mato Grosso do Sul,1407,1296,85
2021,51 Mato Grosso,2268,2131,190
2021,52 Goiás,3279,3106,337
2021,53 Distrito Federal,2705,2597,74
