Ano,Unidade da Federação,Quantidade_existente,Quantidade_SUS,Quantidade_Não_SUS
2021,11 Rondônia,1,-,1
2021,13 Amazonas,7,-,7
2021,14 Roraima,5,-,5
2021,15 Pará,37,22,15
2021,17 Tocantins,10,-,10
2021,21 Maranhão,3,3,-
2021,22 Piauí,13,9,4
2021,23 Ceará,63,22,41
2021,24 Rio Grande do Norte,19,10,9
2021,25 Paraíba,12,12,-
2021,26 Pernambuco,95,47,48
2021,27 Alagoas,10,10,-
2021,28 Sergipe,7,6,1
2021,29 Bahia,41,25,16
2021,31 Minas Gerais,57,32,25
2021,32 Espírito Santo,22,-,22
2021,33 Rio de Janeiro,15,15,-
2021,35 São Paulo,139,70,69
2021,41 Paraná,30,15,15
2021,42 Santa Catarina,35,31,4
2021,43 Rio Grande do Sul,27,16,11
2021,51 Mato Grosso,10,10,-
2021,52 Goiás,10,-,10
2021,53 Distrito Federal,10,10,-
