Ano,Unidade da Federação,Quantidade_existente,Quantidade_SUS,Quantidade_Não_SUS
2021,11 Rondônia,60,24,36
2021,12 Acre,36,-,36
2021,13 Amazonas,146,70,76
2021,14 Roraima,9,-,9
2021,15 Pará,330,202,128
2021,17 Tocantins,219,37,182
2021,21 Maranhão,272,127,145
2021,22 Piauí,102,26,76
2021,23 Ceará,362,125,237
2021,24 Rio Grande do Norte,192,133,59
2021,25 Paraíba,144,54,90
2021,26 Pernambuco,179,41,138
2021,27 Alagoas,39,-,39
2021,28 Sergipe,48,8,40
2021,29 Bahia,543,327,216
2021,31 Minas Gerais,1086,748,338
2021,32 Espírito Santo,92,-,92
2021,33 Rio de Janeiro,320,105,215
2021,35 São Paulo,1118,387,731
2021,41 Paraná,145,35,110
2021,42 Santa Catarina,175,105,70
2021,43 Rio Grande do Sul,405,178,227
2021,50 Mato Grosso do Sul,25,21,4
2021,51 Mato Grosso,190,98,92
2021,52 Goiás,490,200,290
2021,53 Distrito Federal,267,165,102
