ano,regiao,cod_uf,uf,quant_obitos,quant_populacao_total,quant_populacao_dep_privada,quant_populacao_dep_sus,quant_uti_sup_pulmonar,quant_uti_sup_pulmonar_sus,quant_uti_adulto,quant_uti_adulto_sus,quant_equipamentos,quant_equipamentos_sus
2020,Centro-Oeste,50,MS,2468,2839188,444399,2394789,8,0,286,178,1183,83
2020,Centro-Oeste,51,MT,3466,3567234,571313,2995921,56,16,417,201,1747,164
2020,Centro-Oeste,52,GO,7459,7206589,1189402,6017187,151,8,709,291,2367,302
2020,Centro-Oeste,53,DF,3987,3094325,824712,2269613,175,101,374,137,2445,66
2020,Nordeste,21,MA,3053,7153262,422133,6731129,76,5,424,125,1412,165
2020,Nordeste,22,PI,2085,3289290,305696,2983594,51,22,309,133,604,77
2020,Nordeste,23,CE,10227,9240580,1208435,8032145,22,0,580,236,2763,246
2020,Nordeste,24,RN,2397,3560903,504033,3056870,71,36,347,144,1114,132
2020,Nordeste,25,PB,3218,4059905,393310,3666595,52,2,249,107,1160,170
2020,Nordeste,26,PE,7864,9674793,1300937,8373856,104,0,1084,523,3425,296
2020,Nordeste,27,AL,2543,3365351,357299,3008052,2,0,245,78,776,58
2020,Nordeste,28,SE,2182,2338474,276203,2062271,70,0,151,112,751,63
2020,Nordeste,29,BA,9220,14985284,1424741,13560543,187,18,1308,566,4371,562
2020,Norte,11,RO,1888,1815278,150952,1664326,36,0,165,29,695,71
2020,Norte,12,AC,814,906876,41438,865438,26,0,90,10,225,34
2020,Norte,13,AM,3198,4269995,460246,3809749,96,2,224,157,1341,124
2020,Norte,14,RR,725,652713,29239,623474,0,0,25,10,194,11
2020,Norte,16,AP,905,877613,59496,818117,0,0,67,0,186,16
2020,Norte,17,TO,923,1607363,108361,1499002,38,0,169,93,410,53
2020,Sudeste,31,MG,14672,21411923,4550394,16861529,403,130,2279,802,8297,713
2020,Sudeste,32,ES,5449,4108508,895850,3212658,17,0,568,376,1895,117
2020,Sudeste,33,RJ,28779,17463349,4648239,12815110,290,82,1982,652,10203,505
2020,Sudeste,35,SP,52132,46649132,15670858,30978274,793,315,4540,1849,22757,1331
2020,Sul,41,PR,10350,11597484,792487,10804997,11,0,990,700,4595,424
