ano,uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
2020,AC,OUTRAS,DOMICILIO,< 9,F,7
2020,AC,OUTRAS,DOMICILIO,< 9,M,11
2020,AC,OUTRAS,HOSPITAL,< 9,F,65
2020,AC,OUTRAS,HOSPITAL,< 9,I,1
2020,AC,OUTRAS,HOSPITAL,< 9,M,67
2020,AC,OUTRAS,OUTRO,< 9,F,3
2020,AC,OUTRAS,OUTRO,< 9,M,3
2020,AC,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,1
2020,AC,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,1
2020,AC,OUTRAS,VIA_PUBLICA,< 9,M,1
2020,AC,COVID,HOSPITAL,< 9,F,2
2020,AC,COVID,HOSPITAL,< 9,M,9
2020,AC,INDETERMINADA,DOMICILIO,< 9,M,1
2020,AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,2
2020,AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,8
2020,AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,I,1
2020,AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,16
2020,AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,F,1
2020,AC,PNEUMONIA,DOMICILIO,< 9,M,2
2020,AC,PNEUMONIA,HOSPITAL,< 9,F,14
2020,AC,PNEUMONIA,HOSPITAL,< 9,M,21
2020,AC,PNEUMONIA,OUTRO,< 9,M,1
2020,AC,SEPTICEMIA,DOMICILIO,< 9,M,1
2020,AC,SEPTICEMIA,HOSPITAL,< 9,F,38
2020,AC,SEPTICEMIA,HOSPITAL,< 9,M,61
2020,AC,SRAG,HOSPITAL,< 9,F,3
2020,AL,OUTRAS,DOMICILIO,< 9,F,12
2020,AL,OUTRAS,DOMICILIO,< 9,M,26
2020,AL,OUTRAS,HOSPITAL,< 9,F,235
2020,AL,OUTRAS,HOSPITAL,< 9,I,7
2020,AL,OUTRAS,HOSPITAL,< 9,M,275
2020,AL,OUTRAS,IGNORADO,< 9,M,1
2020,AL,OUTRAS,OUTRO,< 9,F,2
2020,AL,OUTRAS,OUTRO,< 9,M,5
2020,AL,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,8
2020,AL,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,7
2020,AL,OUTRAS,VIA_PUBLICA,< 9,F,2
2020,AL,OUTRAS,VIA_PUBLICA,< 9,M,5
2020,AL,COVID,HOSPITAL,< 9,F,8
2020,AL,COVID,HOSPITAL,< 9,M,5
2020,AL,COVID,OUTROS_SERVICOS_SAUDE,< 9,M,1
2020,AL,INDETERMINADA,DOMICILIO,< 9,F,1
2020,AL,INDETERMINADA,HOSPITAL,< 9,F,1
2020,AL,INDETERMINADA,HOSPITAL,< 9,M,1
2020,AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,2
2020,AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,22
2020,AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,I,2
2020,AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,37
2020,AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,M,2
2020,AL,PNEUMONIA,HOSPITAL,< 9,F,16
2020,AL,PNEUMONIA,HOSPITAL,< 9,M,22
